Date,Domanda,Offerta,deltalog,delta,Z-score
2017-01-01,0.050449663513527705,1.7807864633019346,0.9735154647006518,1.730336799788407,2.2998800075060246
2017-01-02,0.07076966687314303,0.9794325548160641,0.6144325104297769,0.908662887942921,1.3116238505688158
2017-01-03,0.06025932030782476,1.0387921035927952,0.6538440064062445,0.9785327832849704,1.420090858232647
2017-01-04,0.06983541384511474,1.1575112011462576,0.7014505178806267,1.087675787301143,1.5511119148305323
2017-01-05,0.0632956426489167,1.323223274814632,0.78158238231161,1.2599276321657153,1.771648165434729
2017-01-06,0.05582161842469038,1.310856702152813,0.7832990734436185,1.2550350837281226,1.776372785639026
2017-01-07,0.05698943470972574,0.9868524984131555,0.6311270162104216,0.9298630637034297,1.3575699138071735
2017-01-08,0.05955863053680354,1.065998563448797,0.6677612402423841,1.0064399329119935,1.4583934060492851
2017-01-09,0.0735724259572279,0.954699409492426,0.5992446236959911,0.8811269835351981,1.2698242541329285
2017-01-10,0.06703265476102986,1.187190975534623,0.7177364848173483,1.1201583207735932,1.5959336110582787
2017-01-11,0.07147035664416425,1.7387401162517502,0.9384661328062193,1.6672697596075858,2.203418402661703
2017-01-12,0.06749978127504401,0.9373862077658794,0.5960204878188801,0.8698864264908355,1.260950894666933
2017-01-13,0.08968829069071592,0.9002864897804225,0.5561129754006472,0.8105981990897065,1.1511187670588483
2017-01-14,0.06913472407409352,0.8013539084858706,0.5216889013090829,0.7322191844117771,1.056377975931826
2017-01-15,0.0761416217843057,0.759307561435686,0.4915382287960749,0.6831659396513803,0.9733982984161383
2017-01-16,0.0761416217843057,2.4065350399899756,1.1523135855560136,2.33039341820567,2.791962245558521
2017-01-17,0.08011219715342593,4.726504071347218,1.6680403128279568,4.646391874193792,4.211328181651115
2017-01-18,0.06306207939190962,1.394949396253182,0.8122086038914608,1.3318873168612724,1.8559366332665355
2017-01-19,0.06633196499000865,1.065998563448797,0.6613889862919105,0.9996665984587882,1.440855900786998
2017-01-20,0.054887365396662086,0.9868524984131555,0.633117728933015,0.9319651330164934,1.3630486871140015
2017-01-21,0.05465380213965501,0.6702682382705892,0.4597716718047927,0.6156144361309343,0.8859714374138487
2017-01-22,0.06142713659286012,0.7667275050327774,0.5095146102313654,0.7053003684399173,1.0228722971720812
2017-01-23,0.06843403430307231,0.9744859257513364,0.6141140165723379,0.9060518914482641,1.3107473023734277
2017-01-24,0.059325067279796466,1.016532272801521,0.6437473632233041,0.9572072055217244,1.3923032128675261
2017-01-25,0.06142713659286012,1.1303047412902558,0.6966506826392657,1.0688776046973958,1.5379019680114443
2017-01-26,0.05769012448074696,0.9052331188451501,0.5885169706673821,0.8475429943644032,1.240299964469734
2017-01-27,0.05769012448074696,1.298490129490994,0.7761650394070031,1.240800005010247,1.756738734574696
2017-01-28,0.05909150402278939,1.004165700139702,0.6378163955534399,0.9450741961169126,1.3759802010213074
2017-01-29,0.06609840173300158,0.7494143033062308,0.49527541728985836,0.6833159015732293,0.9836836642200254
2017-01-30,0.05442023888264794,1.0437387326575227,0.6617897633021336,0.9893184937748748,1.4419589059372038
2017-01-31,0.059325067279796466,1.0264255309309762,0.648641442437916,0.9671004636511797,1.4057725348134802
2017-02-01,0.06025932030782476,0.8903932316509673,0.5782713465009643,0.8301339113431425,1.2121022985997776
2017-02-02,0.05979219379381061,0.9571727240247899,0.6134280987987745,0.8973805302309793,1.3088595423034652
2017-02-03,0.04741334117243576,0.8038272230182344,0.5435870024727216,0.7564138818457986,1.116645201214469
2017-02-04,0.05325242259761258,0.6875814399971358,0.47141348134832217,0.6343290173995233,0.9180116382154841
2017-02-05,0.05862437750877525,0.6480084074793151,0.44259722485924385,0.5893840299705398,0.8387044960732505
2017-02-06,0.06960185058810767,0.9126530624422415,0.5812048391931627,0.8430512118541339,1.2201757595644782
2017-02-07,0.05698943470972574,1.1674044592757127,0.7181056386416392,1.110415024565987,1.5969495839285397
2017-02-08,0.05371954911162672,0.9472794658953346,0.6141069204828957,0.8935599167837079,1.3107277727522135
2017-02-09,0.05979219379381061,1.0684718779811608,0.6687372661446734,1.0086796841873502,1.461079592056711
2017-02-10,0.07030254035912888,1.9267120207113988,1.0059382591777408,1.85640948035227,2.389112943478034
2017-02-11,0.05862437750877525,0.7048946417236824,0.4765330068748992,0.6462702642149072,0.9321014259986724
2017-02-12,0.052551732826591355,0.5367092535229442,0.3784258440499958,0.4841575206963528,0.6620941573489503
